name,Element,Weapon Type,region,star,Ascension Bonus,bodyType,Fielder-Type,DPS,Support,Survivability,use,own,pull_number
Kujou Sara,Electro,Bow,INAZUMA,4,Attack%,LADY,Off-Field,0,1,0,600,75468,498843.48000000004
Arataki Itto,Geo,Claymore,INAZUMA,5,Critical Rate,MALE,On-Field,1,0,0,132,10257,55418.570999999996
Yae Miko,Electro,Catalyst,INAZUMA,5,Critical Rate,LADY,Off-Field,1,0,0,717,29538,117945.23400000001
Shikanoin Heizou,Anemo,Catalyst,INAZUMA,4,Anemo Damage Bonus,BOY,On-Field,1,0,0,21,75210,472694.85000000003
Yelan,Hydro,Bow,LIYUE,5,Critical Rate,LADY,Off-Field,1,0,0,16695,54702,118758.04199999999
Kirara,Dendro,Sword,INAZUMA,4,HP%,GIRL,Off-Field,0,0,1,459,74748,359388.38399999996
Aloy,Cryo,Bow,RANGER,5,Cryo Damage Bonus,GIRL,On-Field,1,0,0,12,19206,19206.0
Shenhe,Cryo,Polearm,LIYUE,5,Attack%,LADY,Off-Field,0,1,0,2103,22806,57425.507999999994
Yun Jin,Geo,Polearm,LIYUE,4,Energy Recharge,GIRL,Off-Field,0,1,0,117,73437,468601.497
Kuki Shinobu,Electro,Sword,INAZUMA,4,HP%,GIRL,Off-Field,0,0,1,16521,76389,418917.276
Kamisato Ayato,Hydro,Sword,INAZUMA,5,Critical Damage,MALE,On-Field,1,0,0,498,18468,87926.148
Collei,Dendro,Bow,SUMERU,4,Attack%,GIRL,Off-Field,1,0,0,873,77430,436163.19000000006
Dori,Electro,Claymore,SUMERU,4,HP%,LOLI,Off-Field,0,0,1,219,75834,516202.038
Tighnari,Dendro,Bow,SUMERU,5,Dendro Damage Bonus,BOY,On-Field,1,0,0,1206,74100,270761.39999999997
Nilou,Hydro,Sword,SUMERU,5,HP%,GIRL,Off-Field,1,1,0,7077,23643,50406.876000000004
Cyno,Electro,Polearm,SUMERU,5,Critical Damage,BOY,On-Field,1,0,0,285,12618,61260.39000000001
Candace,Hydro,Polearm,SUMERU,4,HP%,LADY,Off-Field,0,1,0,30,76812,430147.20000000007
Nahida,Dendro,Catalyst,SUMERU,5,Elemental Mastery,LOLI,Off-Field,1,1,0,43650,68082,121390.20599999999
Layla,Cryo,Sword,SUMERU,4,HP%,GIRL,Off-Field,0,0,1,672,75300,410686.20000000007
Wanderer,Anemo,Catalyst,SUMERU,5,Critical Rate,BOY,On-Field,1,0,0,1176,26565,159230.60999999996
Faruzan,Anemo,Bow,SUMERU,4,Attack%,GIRL,Off-Field,0,1,0,1521,75882,521612.868
Yaoyao,Dendro,Polearm,LIYUE,4,HP%,LOLI,Off-Field,0,0,1,2619,77058,420428.448
Alhaitham,Dendro,Sword,SUMERU,5,Dendro Damage Bonus,MALE,On-Field,1,0,0,2394,26184,56138.49600000001
Dehya,Pyro,Claymore,SUMERU,5,HP%,LADY,Off-Field,1,0,1,627,68676,246409.488
Mika,Cryo,Polearm,MONDSTADT,4,HP%,BOY,Off-Field,0,1,1,117,73098,425576.55600000004
Kaveh,Dendro,Claymore,SUMERU,4,Elemental Mastery,MALE,On-Field,1,0,0,291,72840,338196.12
Baizhu,Dendro,Catalyst,LIYUE,5,HP%,MALE,Off-Field,0,1,1,4953,19320,32303.039999999997
Lynette,Anemo,Sword,FONTAINE,4,Anemo Damage Bonus,GIRL,Off-Field,1,0,0,129,77328,370710.43200000003
Lyney,Pyro,Bow,FONTAINE,5,Critical Rate,BOY,On-Field,1,0,0,507,9960,41094.95999999999
Freminet,Cryo,Claymore,FONTAINE,4,Attack%,BOY,On-Field,1,0,0,12,72528,435168.0
Wriothesley,Cryo,Catalyst,FONTAINE,5,Critical Damage,MALE,On-Field,1,0,0,1725,13389,77321.475
Neuvillette,Hydro,Catalyst,FONTAINE,5,Critical Damage,MALE,On-Field,1,0,0,22533,55080,147228.84
Charlotte,Cryo,Catalyst,FONTAINE,4,Attack%,GIRL,Off-Field,0,0,1,876,74046,322766.514
Furina,Hydro,Sword,FONTAINE,5,Critical Rate,GIRL,Off-Field,1,1,1,52212,74730,222471.21000000002
Chevreuse,Pyro,Polearm,FONTAINE,4,HP%,GIRL,Off-Field,0,1,1,5292,74346,447934.64999999997
Navia,Geo,Claymore,FONTAINE,5,Critical Damage,LADY,On-Field,1,0,0,1041,28485,78533.14500000002
Gaming,Pyro,Claymore,LIYUE,4,Attack%,BOY,On-Field,1,0,0,207,75237,515599.161
Xianyun,Anemo,Catalyst,LIYUE,5,Attack%,LADY,Off-Field,0,1,1,1182,30576,78121.68000000001
Chiori,Geo,Sword,INAZUMA,5,Critical Rate,GIRL,Off-Field,1,0,0,699,9261,47610.801
Sigewinne,Hydro,Bow,FONTAINE,5,HP%,LOLI,Off-Field,0,1,1,897,9192,19220.472
Arlecchino,Pyro,Polearm,FATUI,5,Critical Damage,LADY,On-Field,1,0,0,26589,45498,109422.69000000002
Sethos,Electro,Bow,SUMERU,4,Elemental Mastery,BOY,On-Field,1,0,0,12,76470,516172.5
Clorinde,Electro,Sword,FONTAINE,5,Critical Rate,LADY,On-Field,1,0,0,1167,20139,62108.67599999999
Emilie,Dendro,Polearm,FONTAINE,5,Critical Damage,GIRL,Off-Field,1,0,0,1107,11517,16665.099000000002
Kachina,Geo,Polearm,NATLAN,4,Geo Damage Bonus,LOLI,Off-Field,1,0,0,102,77244,329831.87999999995
Kinich,Dendro,Claymore,NATLAN,5,Critical Damage,BOY,On-Field,1,0,0,2406,19725,76533.0
Mualani,Hydro,Catalyst,NATLAN,5,Critical Rate,GIRL,On-Field,1,0,0,1902,19701,56049.344999999994
Xilonen,Geo,Sword,NATLAN,5,Defense%,LADY,Off-Field,0,1,1,46416,63108,85637.55599999998
Chasca,Anemo,Bow,NATLAN,5,Critical Rate,LADY,On-Field,1,0,0,2559,24168,101239.75200000001
Ororon,Electro,Bow,NATLAN,4,Attack%,MALE,Off-Field,1,0,0,1554,75405,334722.795
Mavuika,Pyro,Claymore,NATLAN,5,Critical Damage,LADY,On-Field,1,1,0,34599,52989,110535.05399999999
Citlali,Cryo,Catalyst,NATLAN,5,Elemental Mastery,GIRL,Off-Field,0,1,1,45507,59631,90042.80999999998
Lan Yan,Anemo,Catalyst,LIYUE,4,Attack%,GIRL,Off-Field,1,0,1,2460,72786,342458.13
Yumemizuki Mizuki,Anemo,Catalyst,INAZUMA,5,Elemental Mastery,GIRL,On-Field,1,0,1,42,58308,145303.536
Iansan,Electro,Polearm,NATLAN,4,Attack%,LOLI,Off-Field,0,1,1,5775,64023,262878.43799999997
Varesa,Electro,Catalyst,NATLAN,5,Critical Rate,GIRL,On-Field,1,0,0,2037,17475,31577.325
Escoffier,Cryo,Polearm,FONTAINE,5,Critical Rate,GIRL,Off-Field,1,1,1,10656,38406,46048.794
Ifa,Anemo,Catalyst,NATLAN,4,Elemental Mastery,MALE,On-Field,0,1,1,48,62658,184277.17799999999
Skirk,Cryo,Sword,OMNI_SCOURGE,5,Critical Damage,GIRL,On-Field,1,0,0,9558,49833,97573.014
Dahlia,Hydro,Sword,MONDSTADT,4,HP%,BOY,Off-Field,0,0,1,813,60294,257937.73200000002
Ineffa,Electro,Polearm,NODKRAI,5,Critical Rate,GIRL,Off-Field,1,0,1,13539,23169,24721.323
Lauma,Dendro,Catalyst,NODKRAI,5,Elemental Mastery,LADY,Off-Field,0,1,0,31950,34119,43433.486999999994
Flins,Electro,Polearm,NODKRAI,5,Critical Damage,MALE,On-Field,1,0,0,15000,27648,59111.424
Aino,Hydro,Claymore,NODKRAI,4,Elemental Mastery,LOLI,Off-Field,1,0,0,22134,76710,283366.74
Nefer,Dendro,Catalyst,NODKRAI,5,Critical Damage,LADY,On-Field,1,0,0,23709,27285,38035.29
