Name,Element,On-Field,Off-Field,DPS,Support,Survivability,Weapon Type,Region,Body Type,Line Count,Star,Use,Own,Pull Number,Free
Gaming,Pyro,1,0,1,0,0,Claymore,Liyue,Boy,389,4,207,75237,515599,0
Ganyu,Cryo,1,0,1,0,0,Bow,Liyue,Girl,633,5,474,25782,96141,0
Gorou,Geo,0,1,0,1,0,Bow,Inazuma,Boy,810,4,201,75165,484964,0
Hu Tao,Pyro,1,0,1,0,0,Polearm,Liyue,Girl,1000,5,3270,32397,97223,0
Iansan,Electro,0,1,0,1,1,Polearm,Natlan,Loli,459,4,5775,64023,262878,0
Ifa,Anemo,1,0,0,1,1,Catalyst,Natlan,Male,345,4,48,62658,184277,0
Ineffa,Electro,0,1,1,0,1,Polearm,Nodkrai,Girl,545,5,13539,23169,24721,0
Jean,Anemo,0,1,0,0,1,Sword,Mondstadt,Lady,809,5,681,72780,250581,1
Kachina,Geo,0,1,1,0,0,Polearm,Natlan,Loli,792,4,102,77244,329831,0
Kaedehara Kazuha,Anemo,0,1,0,1,0,Sword,Inazuma,Boy,1163,5,15219,69219,94622,0
Kaeya,Cryo,0,1,1,0,0,Sword,Mondstadt,Male,1395,4,120,77430,367792,0
Kamisato Ayaka,Cryo,1,0,1,0,0,Sword,Inazuma,Girl,959,5,1164,36258,146083,0
Kamisato Ayato,Hydro,1,0,1,0,0,Sword,Inazuma,Male,653,5,498,18468,87926,0
Kaveh,Dendro,1,0,1,0,0,Claymore,Sumeru,Male,1252,4,291,72840,338196,0
Keqing,Electro,1,0,1,0,0,Sword,Liyue,Girl,750,5,765,72846,387395,1
Kinich,Dendro,1,0,1,0,0,Claymore,Natlan,Boy,755,5,2406,19725,76533,0
Kirara,Dendro,0,1,0,0,1,Sword,Inazuma,Girl,482,4,459,74748,359388,0
Klee,Pyro,1,0,1,0,0,Catalyst,Mondstadt,Loli,932,5,471,13842,32210,0
Kujou Sara,Electro,0,1,0,1,0,Bow,Inazuma,Lady,505,4,600,75468,498843,0
Kuki Shinobu,Electro,0,1,0,0,1,Sword,Inazuma,Girl,679,4,16521,76389,418917,0
Lan Yan,Anemo,0,1,1,0,1,Catalyst,Liyue,Girl,298,4,2460,72786,342458,0
Lauma,Dendro,0,1,0,1,0,Catalyst,Nodkrai,Lady,809,5,31950,34119,43433,0
Layla,Cryo,0,1,0,0,1,Sword,Sumeru,Girl,1172,4,672,75300,410686,0
Lisa,Electro,0,1,1,0,0,Catalyst,Mondstadt,Lady,841,4,18,77430,400003,0
Lynette,Anemo,0,1,1,0,0,Sword,Fontaine,Girl,819,4,129,77328,370710,0
Lyney,Pyro,1,0,1,0,0,Bow,Fontaine,Boy,1330,5,507,9960,41094,0
Mavuika,Pyro,1,1,1,1,0,Claymore,Natlan,Lady,1311,5,34599,52989,110535,0
Mika,Cryo,0,1,0,1,1,Polearm,Mondstadt,Boy,316,4,117,73098,425576,0
Mona,Hydro,0,1,0,1,0,Catalyst,Mondstadt,Girl,968,5,2205,73683,250006,1
Mualani,Hydro,1,0,1,0,0,Catalyst,Natlan,Girl,1183,5,1902,19701,56049,0
Nahida,Dendro,0,1,1,1,0,Catalyst,Sumeru,Loli,1697,5,43650,68082,121390,0
Navia,Geo,1,0,1,0,0,Claymore,Fontaine,Lady,1786,5,1041,28485,78533,0
Nefer,Dendro,1,0,1,0,0,Catalyst,Nodkrai,Lady,776,5,23709,27285,38035,0
Neuvillette,Hydro,1,0,1,0,0,Catalyst,Fontaine,Male,1213,5,22533,55080,147228,0
Nilou,Hydro,0,1,1,1,0,Sword,Sumeru,Girl,897,5,7077,23643,50406,0
Ningguang,Geo,1,0,1,0,0,Catalyst,Liyue,Lady,1020,4,15,74634,477657,0
Noelle,Geo,1,0,1,0,1,Claymore,Mondstadt,Girl,989,4,126,77430,518393,0
Ororon,Electro,0,1,1,0,0,Bow,Natlan,Male,583,4,1554,75405,334722,0
Qiqi,Cryo,0,1,0,0,1,Sword,Liyue,Loli,254,5,75,71106,332776,1
Raiden Shogun,Electro,1,0,1,1,0,Polearm,Inazuma,Lady,940,5,3507,64386,161029,0
Razor,Electro,1,0,1,0,0,Claymore,Mondstadt,Boy,436,4,18,73572,380367,0
Rosaria,Cryo,0,1,1,0,0,Polearm,Mondstadt,Lady,333,4,258,76470,422190,0
Sangonomiya Kokomi,Hydro,0,1,0,1,1,Catalyst,Inazuma,Girl,819,5,6927,30594,36100,0
Sayu,Anemo,0,1,0,0,1,Claymore,Inazuma,Loli,710,4,33,73146,359439,0
Sethos,Electro,1,0,1,0,0,Bow,Sumeru,Boy,403,4,12,76470,516172,0
Shenhe,Cryo,0,1,0,1,0,Polearm,Liyue,Lady,479,5,2103,22806,57425,0
Shikanoin Heizou,Anemo,1,0,1,0,0,Catalyst,Inazuma,Boy,826,4,21,75210,472694,0
Sigewinne,Hydro,0,1,0,1,1,Bow,Fontaine,Loli,623,5,897,9192,19220,0
Skirk,Cryo,1,0,1,0,0,Sword,Omni_Scourge,Girl,401,5,9558,49833,97573,0
Sucrose,Anemo,0,1,0,1,0,Catalyst,Mondstadt,Girl,755,4,3774,76236,426845,0
Tartaglia,Hydro,1,0,1,0,0,Bow,Fatui,Male,760,5,696,20949,79836,0
Thoma,Pyro,0,1,0,0,1,Polearm,Inazuma,Male,1025,4,987,75570,489240,0
Tighnari,Dendro,1,0,1,0,0,Bow,Sumeru,Boy,1333,5,1206,74100,270761,1
Varesa,Electro,1,0,1,0,0,Catalyst,Natlan,Girl,441,5,2037,17475,31577,0
Venti,Anemo,0,1,1,1,0,Bow,Mondstadt,Boy,1376,5,204,28662,113042,0
Wanderer,Anemo,1,0,1,0,0,Catalyst,Sumeru,Boy,736,5,1176,26565,159230,0
Wriothesley,Cryo,1,0,1,0,0,Catalyst,Fontaine,Male,978,5,1725,13389,77321,0
Xiangling,Pyro,0,1,1,0,0,Polearm,Liyue,Girl,781,4,10191,77430,489977,0
Xianyun,Anemo,0,1,0,1,1,Catalyst,Liyue,Lady,519,5,1182,30576,78121,0
Xiao,Anemo,1,0,1,0,0,Polearm,Liyue,Boy,801,5,564,23013,119828,0
Xilonen,Geo,0,1,0,1,1,Sword,Natlan,Lady,941,5,46416,63108,85637,0
Xingqiu,Hydro,0,1,1,0,1,Sword,Liyue,Boy,623,4,17385,77394,516063,0
Xinyan,Pyro,0,1,0,0,1,Claymore,Liyue,Girl,687,4,9,74130,74130,0
Yae Miko,Electro,0,1,1,0,0,Catalyst,Inazuma,Lady,1327,5,717,29538,117945,0
Yanfei,Pyro,1,0,1,0,0,Catalyst,Liyue,Girl,680,4,186,76383,459443,0
Yaoyao,Dendro,0,1,0,0,1,Polearm,Liyue,Loli,257,4,2619,77058,420428,0
Yelan,Hydro,0,1,1,0,0,Bow,Liyue,Lady,954,5,16695,54702,118758,0
Yoimiya,Pyro,1,0,1,0,0,Bow,Inazuma,Girl,1165,5,1662,23445,64356,0
Yumemizuki Mizuki,Anemo,1,0,1,0,1,Catalyst,Inazuma,Girl,620,5,42,58308,145303,1
Yun Jin,Geo,0,1,0,1,0,Polearm,Liyue,Girl,718,4,117,73437,468601,0
Zhongli,Geo,0,1,0,1,1,Polearm,Liyue,Male,1271,5,14244,60894,79832,0
